image,couple_id,confidence,x1,y1,x2,y2,center_x,center_y
LAT_FORM_FB_AD_AV_001.jpg,1,0.93,223.96,467.25,379.54,720.21,301.75,593.73
LAT_FORM_FB_AD_AV_001.jpg,2,0.928,1009.04,490.64,1164.12,731.27,1086.58,610.96
LAT_FORM_FB_AD_AV_001.jpg,3,0.925,771.92,470.0,929.48,716.18,850.7,593.09
LAT_FORM_FB_AD_AV_001.jpg,4,0.871,512.57,475.22,641.55,719.3,577.06,597.26
LAT_FORM_FB_AD_AV_002.jpg,1,0.934,1028.5,409.56,1167.15,691.66,1097.82,550.61
LAT_FORM_FB_AD_AV_002.jpg,2,0.925,452.47,436.93,585.85,738.98,519.16,587.95
LAT_FORM_FB_AD_AV_002.jpg,3,0.861,1226.03,490.19,1372.58,756.52,1299.31,623.36
LAT_FORM_FB_AD_AV_002.jpg,4,0.835,734.98,407.54,823.68,682.94,779.33,545.24
LAT_FORM_FB_AD_AV_002.jpg,5,0.746,816.6,454.39,948.82,750.07,882.71,602.23
LAT_FORM_FB_AD_AV_002.jpg,6,0.744,569.57,369.25,661.79,642.73,615.68,505.99
LAT_FORM_FB_AD_AV_002.jpg,7,0.656,947.84,381.17,1037.38,650.47,992.61,515.82
LAT_FORM_FB_AD_AV_003.jpg,1,0.936,380.21,402.45,535.89,658.14,458.05,530.3
LAT_FORM_FB_AD_AV_003.jpg,2,0.931,1228.61,402.45,1350.5,641.71,1289.55,522.08
LAT_FORM_FB_AD_AV_003.jpg,3,0.926,703.28,428.76,824.14,673.37,763.71,551.07
LAT_FORM_FB_AD_AV_003.jpg,4,0.916,971.39,414.71,1097.55,654.58,1034.47,534.64
LAT_FORM_FB_AD_AV_003.jpg,5,0.864,589.69,381.88,713.76,600.75,651.73,491.32
LAT_FORM_FB_AD_AV_003.jpg,6,0.65,874.24,378.56,988.18,595.04,931.21,486.8
LAT_FORM_FB_AD_AV_003.jpg,7,0.62,873.72,376.49,988.89,594.65,931.31,485.57
LAT_FORM_FB_AD_AV_004.jpg,1,0.926,548.2,515.28,727.78,755.17,637.99,635.22
LAT_FORM_FB_AD_AV_004.jpg,2,0.857,847.42,449.23,1000.35,665.96,923.88,557.6
LAT_FORM_FB_AD_AV_004.jpg,3,0.855,716.04,484.06,856.09,708.63,786.06,596.35
LAT_FORM_FB_AD_AV_004.jpg,4,0.847,1246.25,547.47,1442.84,791.71,1344.55,669.59
LAT_FORM_FB_AD_AV_005.jpg,1,0.947,824.95,470.05,948.27,666.14,886.61,568.1
LAT_FORM_FB_AD_AV_005.jpg,2,0.928,540.43,527.04,713.98,752.77,627.21,639.91
LAT_FORM_FB_AD_AV_005.jpg,3,0.926,1286.8,572.48,1479.3,799.98,1383.05,686.23
LAT_FORM_FB_AD_AV_005.jpg,4,0.852,719.58,501.57,823.56,707.57,771.57,604.57
LAT_FORM_FB_AD_AV_006.jpg,1,0.954,610.57,542.14,729.27,754.97,669.92,648.56
LAT_FORM_FB_AD_AV_006.jpg,2,0.927,1060.97,498.58,1145.09,693.89,1103.03,596.23
LAT_FORM_FB_AD_AV_006.jpg,3,0.922,1276.6,577.0,1382.96,789.92,1329.78,683.46
LAT_FORM_FB_AD_AV_006.jpg,4,0.869,768.1,520.87,846.45,701.78,807.27,611.32
LAT_FORM_FB_AD_AV_006.jpg,5,0.868,1153.57,548.17,1254.75,745.57,1204.16,646.87
LAT_FORM_FB_AD_AV_006.jpg,6,0.854,934.79,465.0,1012.88,641.15,973.83,553.08
LAT_FORM_FB_AD_AV_006.jpg,7,0.636,851.18,477.76,917.12,652.75,884.15,565.25
LAT_FORM_FB_AD_AV_007.jpg,1,0.967,1119.58,628.73,1232.6,753.93,1176.09,691.33
LAT_FORM_FB_AD_AV_007.jpg,2,0.947,733.43,516.84,819.94,621.12,776.68,568.98
LAT_FORM_FB_AD_AV_007.jpg,3,0.94,1202.53,530.01,1286.0,627.6,1244.26,578.81
LAT_FORM_FB_AD_AV_007.jpg,4,0.932,552.65,558.94,637.08,676.46,594.86,617.7
LAT_FORM_FB_AD_AV_007.jpg,5,0.925,671.37,628.77,765.79,754.61,718.58,691.69
LAT_FORM_FB_AD_AV_007.jpg,6,0.919,877.86,564.26,966.25,682.91,922.06,623.59
LAT_FORM_FB_AD_AV_007.jpg,7,0.917,1375.93,567.67,1470.05,683.86,1422.99,625.76
LAT_FORM_FB_AD_AV_007.jpg,8,0.859,1057.8,574.19,1130.5,680.91,1094.15,627.55
LAT_FORM_FB_AD_AV_008.jpg,1,0.959,733.81,487.86,823.13,620.18,778.47,554.02
LAT_FORM_FB_AD_AV_008.jpg,2,0.958,552.16,532.73,644.63,676.51,598.4,604.62
LAT_FORM_FB_AD_AV_008.jpg,3,0.932,1112.79,603.7,1222.32,759.77,1167.56,681.74
LAT_FORM_FB_AD_AV_008.jpg,4,0.922,871.64,546.3,962.98,683.25,917.31,614.78
LAT_FORM_FB_AD_AV_008.jpg,5,0.918,1375.3,543.62,1470.9,684.25,1423.1,613.94
LAT_FORM_FB_AD_AV_008.jpg,6,0.915,1199.8,500.54,1285.54,625.16,1242.67,562.85
LAT_FORM_FB_AD_AV_008.jpg,7,0.852,1057.53,546.13,1133.75,681.14,1095.64,613.63
LAT_FORM_FB_AD_AV_008.jpg,8,0.806,670.48,610.74,762.6,755.23,716.54,682.98
LAT_FORM_FB_AD_AV_009.jpg,1,0.949,742.84,488.22,821.95,619.95,782.39,554.09
LAT_FORM_FB_AD_AV_009.jpg,2,0.945,546.33,536.76,640.83,675.67,593.58,606.22
LAT_FORM_FB_AD_AV_009.jpg,3,0.939,679.81,613.81,764.21,756.17,722.01,684.99
LAT_FORM_FB_AD_AV_009.jpg,4,0.933,1113.92,602.82,1219.02,759.9,1166.47,681.36
LAT_FORM_FB_AD_AV_009.jpg,5,0.928,1047.96,545.91,1125.97,683.53,1086.97,614.72
LAT_FORM_FB_AD_AV_009.jpg,6,0.927,872.89,545.99,960.75,683.16,916.82,614.58
LAT_FORM_FB_AD_AV_009.jpg,7,0.92,1202.23,497.95,1284.63,627.66,1243.43,562.8
LAT_FORM_FB_AD_AV_009.jpg,8,0.917,1380.36,540.7,1465.14,684.42,1422.75,612.56
LAT_FORM_FB_AD_AV_010.jpg,1,0.935,514.84,521.08,621.9,676.28,568.37,598.68
LAT_FORM_FB_AD_AV_010.jpg,2,0.926,848.35,528.18,938.47,681.19,893.41,604.69
LAT_FORM_FB_AD_AV_010.jpg,3,0.91,1102.49,556.58,1219.98,754.07,1161.24,655.33
LAT_FORM_FB_AD_AV_010.jpg,4,0.906,641.15,587.57,744.89,754.31,693.02,670.94
LAT_FORM_FB_AD_AV_010.jpg,5,0.901,1013.16,536.36,1093.83,684.21,1053.5,610.29
LAT_FORM_FB_AD_AV_010.jpg,6,0.885,1352.82,543.27,1442.35,680.33,1397.59,611.8
LAT_FORM_FB_AD_AV_010.jpg,7,0.882,1183.41,497.13,1258.17,622.08,1220.79,559.61
LAT_FORM_FB_AD_AV_010.jpg,8,0.617,708.62,470.78,779.91,614.85,744.27,542.81
LAT_FORM_FB_AD_AV_011.jpg,1,0.964,625.1,555.83,724.81,756.25,674.95,656.04
LAT_FORM_FB_AD_AV_011.jpg,2,0.938,1166.99,465.4,1236.11,618.16,1201.55,541.78
LAT_FORM_FB_AD_AV_011.jpg,3,0.917,506.77,495.81,588.73,674.33,547.75,585.07
LAT_FORM_FB_AD_AV_011.jpg,4,0.908,1330.1,502.42,1415.44,681.79,1372.77,592.11
LAT_FORM_FB_AD_AV_011.jpg,5,0.903,1014.64,511.27,1092.19,681.13,1053.41,596.2
LAT_FORM_FB_AD_AV_011.jpg,6,0.876,815.74,507.18,905.23,682.52,860.49,594.85
LAT_FORM_FB_AD_AV_011.jpg,7,0.871,703.56,452.91,773.73,620.31,738.65,536.61
LAT_FORM_FB_AD_AV_012.jpg,1,0.941,489.13,499.16,569.8,687.68,529.47,593.42
LAT_FORM_FB_AD_AV_012.jpg,2,0.94,678.06,453.37,759.02,620.2,718.54,536.79
LAT_FORM_FB_AD_AV_012.jpg,3,0.934,1356.96,505.29,1437.48,688.59,1397.22,596.94
LAT_FORM_FB_AD_AV_012.jpg,4,0.919,819.11,505.66,905.46,692.07,862.29,598.87
LAT_FORM_FB_AD_AV_012.jpg,5,0.918,1093.75,558.82,1192.38,766.71,1143.06,662.77
LAT_FORM_FB_AD_AV_012.jpg,6,0.883,1162.28,461.31,1243.52,619.27,1202.9,540.29
LAT_FORM_FB_AD_AV_012.jpg,7,0.847,621.72,553.97,700.53,767.49,661.12,660.73
LAT_FORM_FB_AD_AV_013.jpg,1,0.948,1182.54,557.2,1292.98,789.74,1237.76,673.47
LAT_FORM_FB_AD_AV_013.jpg,2,0.94,847.14,493.32,942.88,696.36,895.01,594.84
LAT_FORM_FB_AD_AV_013.jpg,3,0.93,459.48,483.3,546.96,699.35,503.22,591.33
LAT_FORM_FB_AD_AV_013.jpg,4,0.919,569.0,539.35,648.46,778.89,608.73,659.12
LAT_FORM_FB_AD_AV_013.jpg,5,0.913,1044.77,492.42,1130.52,700.04,1087.64,596.23
LAT_FORM_FB_AD_AV_013.jpg,6,0.901,1441.34,497.89,1543.85,701.93,1492.6,599.91
LAT_FORM_FB_AD_AV_013.jpg,7,0.885,684.22,444.75,779.59,633.79,731.9,539.27
LAT_FORM_FB_AD_AV_014.jpg,1,0.94,603.81,542.43,697.32,775.55,650.56,658.99
LAT_FORM_FB_AD_AV_014.jpg,2,0.938,447.85,474.69,539.48,698.42,493.67,586.56
LAT_FORM_FB_AD_AV_014.jpg,3,0.905,1481.28,481.47,1558.91,697.17,1520.09,589.32
LAT_FORM_FB_AD_AV_014.jpg,4,0.895,1043.76,485.85,1118.64,701.27,1081.2,593.56
LAT_FORM_FB_AD_AV_014.jpg,5,0.894,1220.06,528.35,1305.57,777.86,1262.81,653.11
LAT_FORM_FB_AD_AV_014.jpg,6,0.874,847.57,482.56,918.16,690.6,882.87,586.58
LAT_FORM_FB_AD_AV_014.jpg,7,0.624,683.14,430.35,752.06,624.99,717.6,527.67
LAT_FORM_FB_AD_AV_015.jpg,1,0.941,1032.86,490.33,1154.19,700.15,1093.53,595.24
LAT_FORM_FB_AD_AV_015.jpg,2,0.941,1282.72,480.21,1412.01,706.91,1347.36,593.56
LAT_FORM_FB_AD_AV_015.jpg,3,0.937,1471.21,427.03,1585.1,627.21,1528.16,527.12
LAT_FORM_FB_AD_AV_015.jpg,4,0.924,453.49,470.7,571.42,696.47,512.45,583.59
LAT_FORM_FB_AD_AV_015.jpg,5,0.906,723.98,482.71,833.57,697.36,778.77,590.03
LAT_FORM_FB_AD_AV_015.jpg,6,0.897,628.32,412.22,723.45,628.75,675.89,520.48
LAT_FORM_FB_AD_AV_015.jpg,7,0.792,885.28,427.64,979.32,620.58,932.3,524.11
LAT_FORM_FB_AD_AV_016.jpg,1,0.945,1254.5,482.61,1403.31,707.56,1328.9,595.09
LAT_FORM_FB_AD_AV_016.jpg,2,0.943,995.95,484.92,1145.46,705.58,1070.7,595.25
LAT_FORM_FB_AD_AV_016.jpg,3,0.927,427.34,470.53,565.42,695.24,496.38,582.88
LAT_FORM_FB_AD_AV_016.jpg,4,0.921,703.21,476.74,833.43,701.44,768.32,589.09
LAT_FORM_FB_AD_AV_016.jpg,5,0.916,854.01,428.3,967.23,623.12,910.62,525.71
LAT_FORM_FB_AD_AV_016.jpg,6,0.915,1432.51,427.48,1569.24,635.62,1500.88,531.55
LAT_FORM_FB_AD_AV_016.jpg,7,0.876,595.46,416.74,701.1,628.96,648.28,522.85
LAT_FORM_FB_AD_AV_017.jpg,1,0.944,1271.24,461.36,1406.69,709.23,1338.96,585.3
LAT_FORM_FB_AD_AV_017.jpg,2,0.931,869.51,412.16,998.75,627.74,934.13,519.95
