image,dance_style,viewpoint,split,ground_truth_couples,predicted_couples,difference,absolute_difference,exact_match,within_one,detection_ratio
LAT_FORM_FB_AD_AV_026.jpg,LAT,AV,train,7,6,-1,1,False,True,0.857
LAT_FORM_FB_AD_AV_032.jpg,LAT,AV,train,8,8,0,0,True,True,1.0
STD_FORM_FB_AD_AV_017.jpg,STD,AV,train,6,6,0,0,True,True,1.0
STD_FORM_FB_AD_AV_003.jpg,STD,AV,train,7,7,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_146.jpg,LAT,AV,train,8,8,0,0,True,True,1.0
STD_FORM_FB_AD_AV_188.jpg,STD,AV,train,7,7,0,0,True,True,1.0
STD_FORM_FB_AD_AV_163.jpg,STD,AV,train,4,4,0,0,True,True,1.0
STD_FORM_FB_AD_AV_177.jpg,STD,AV,train,8,7,-1,1,False,True,0.875
STD_FORM_FB_AD_AV_176.jpg,STD,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_162.jpg,STD,AV,train,4,4,0,0,True,True,1.0
STD_FORM_FB_AD_AV_189.jpg,STD,AV,train,8,8,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_147.jpg,LAT,AV,train,5,4,-1,1,False,True,0.8
STD_FORM_FB_AD_AV_002.jpg,STD,AV,train,8,8,0,0,True,True,1.0
STD_FORM_FB_AD_AV_016.jpg,STD,AV,train,8,8,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_033.jpg,LAT,AV,train,8,8,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_027.jpg,LAT,AV,train,5,6,1,1,False,True,1.2
LAT_FORM_FB_AD_AV_031.jpg,LAT,AV,train,8,8,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_025.jpg,LAT,AV,train,8,10,2,2,False,False,1.25
LAT_FORM_FB_AD_AV_019.jpg,LAT,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_014.jpg,STD,AV,train,6,5,-1,1,False,True,0.833
STD_FORM_FB_AD_AV_028.jpg,STD,AV,train,8,8,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_145.jpg,LAT,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_174.jpg,STD,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_160.jpg,STD,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_148.jpg,STD,AV,train,8,8,0,0,True,True,1.0
STD_FORM_FB_AD_AV_149.jpg,STD,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_161.jpg,STD,AV,train,5,5,0,0,True,True,1.0
STD_FORM_FB_AD_AV_175.jpg,STD,AV,train,6,6,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_150.jpg,LAT,AV,train,6,6,0,0,True,True,1.0
LAT_FORM_FB_AD_AV_144.jpg,LAT,AV,train,7,8,1,1,False,True,1.143
STD_FORM_FB_AD_AV_029.jpg,STD,AV,train,7,7,0,0,True,True,1.0
STD_FORM_FB_AD_AV_015.jpg,STD,AV,train,7,7,0,0,True,True,1.0
STD_FORM_FB_AD_AV_001.jpg,STD,AV,train,8,7,-1,1,False,True,0.875
