image,dance_style,viewpoint,num_couples,avg_nearest_neighbor,std_nearest_neighbor,cv_nearest_neighbor,min_nearest_neighbor,max_nearest_neighbor
LAT_FORM_FB_AD_AV_002.jpg,LAT,AV,7,132.17,36.75,0.278,110.81,214.22
LAT_FORM_FB_AD_AV_003.jpg,LAT,AV,7,117.58,93.68,0.797,1.23,255.39
LAT_FORM_FB_AD_AV_006.jpg,LAT,AV,7,109.87,21.24,0.193,89.63,142.31
LAT_FORM_FB_AD_AV_007.jpg,LAT,AV,8,136.88,26.46,0.193,103.84,184.79
LAT_FORM_FB_AD_AV_008.jpg,LAT,AV,8,138.05,28.61,0.207,99.05,187.52
LAT_FORM_FB_AD_AV_009.jpg,LAT,AV,8,140.16,26.62,0.19,103.74,186.1
LAT_FORM_FB_AD_AV_010.jpg,LAT,AV,8,138.36,25.08,0.181,112.73,184.34
LAT_FORM_FB_AD_AV_011.jpg,LAT,AV,7,149.32,16.38,0.11,135.04,178.46
LAT_FORM_FB_AD_AV_012.jpg,LAT,AV,7,150.38,24.25,0.161,136.32,202.41
LAT_FORM_FB_AD_AV_013.jpg,LAT,AV,7,171.13,46.64,0.273,125.41,265.24
LAT_FORM_FB_AD_AV_014.jpg,LAT,AV,7,184.35,39.88,0.216,147.44,265.07
LAT_FORM_FB_AD_AV_015.jpg,LAT,AV,7,164.59,29.13,0.177,124.18,192.62
LAT_FORM_FB_AD_AV_016.jpg,LAT,AV,7,162.08,19.78,0.122,137.1,183.34
LAT_FORM_FB_AD_AV_018.jpg,LAT,AV,7,142.24,12.4,0.087,132.75,167.08
LAT_FORM_FB_AD_AV_019.jpg,LAT,AV,5,255.18,30.52,0.12,237.53,309.27
LAT_FORM_FB_AD_AV_020.jpg,LAT,AV,7,213.22,54.09,0.254,154.25,271.16
LAT_FORM_FB_AD_AV_021.jpg,LAT,AV,7,214.58,37.61,0.175,168.35,249.25
LAT_FORM_FB_AD_AV_022.jpg,LAT,AV,8,199.76,31.38,0.157,173.99,269.27
LAT_FORM_FB_AD_AV_024.jpg,LAT,AV,8,191.58,68.61,0.358,131.38,331.27
LAT_FORM_FB_AD_AV_026.jpg,LAT,AV,6,339.66,119.87,0.353,223.6,541.63
LAT_FORM_FB_AD_AV_027.jpg,LAT,AV,6,263.33,204.52,0.777,1.02,410.9
LAT_FORM_FB_AD_AV_028.jpg,LAT,AV,7,123.36,36.33,0.294,86.39,187.51
LAT_FORM_FB_AD_AV_029.jpg,LAT,AV,8,181.45,28.4,0.156,163.09,239.08
LAT_FORM_FB_AD_AV_030.jpg,LAT,AV,8,196.0,22.06,0.113,179.76,247.69
LAT_FORM_FB_AD_AV_031.jpg,LAT,AV,8,198.21,37.02,0.187,158.03,273.25
LAT_FORM_FB_AD_AV_032.jpg,LAT,AV,8,240.99,40.72,0.169,195.97,294.07
LAT_FORM_FB_AD_AV_033.jpg,LAT,AV,8,253.26,76.07,0.3,192.82,405.94
LAT_FORM_FB_AD_AV_034.jpg,LAT,AV,8,255.93,79.23,0.31,191.91,419.51
