image,dance_style,viewpoint,num_couples,avg_nearest_neighbor,std_nearest_neighbor,cv_nearest_neighbor,min_nearest_neighbor,max_nearest_neighbor
LAT_FORM_FB_AD_AV_001.jpg,LAT,AV,4,255.53,21.92,0.086,236.56,275.33
LAT_FORM_FB_AD_AV_004.jpg,LAT,AV,4,218.68,144.5,0.661,143.16,435.32
LAT_FORM_FB_AD_AV_005.jpg,LAT,AV,4,225.07,190.61,0.847,120.68,510.3
LAT_FORM_FB_AD_AV_017.jpg,LAT,AV,9,117.98,65.69,0.557,2.32,155.06
LAT_FORM_FB_AD_AV_023.jpg,LAT,AV,9,155.67,84.44,0.542,8.8,216.33
LAT_FORM_FB_AD_AV_025.jpg,LAT,AV,10,132.75,116.48,0.877,1.37,299.36
LAT_FORM_FB_AD_AV_044.jpg,LAT,AV,4,266.47,6.81,0.026,260.71,274.06
LAT_FORM_FB_AD_AV_045.jpg,LAT,AV,4,214.06,16.01,0.075,200.19,227.92
LAT_FORM_FB_AD_AV_047.jpg,LAT,AV,4,163.83,187.59,1.145,1.37,326.29
LAT_FORM_FB_AD_AV_048.jpg,LAT,AV,4,195.82,10.86,0.055,186.41,205.23
LAT_FORM_FB_AD_AV_050.jpg,LAT,AV,3,469.18,9.54,0.02,463.68,480.2
LAT_FORM_FB_AD_AV_052.jpg,LAT,AV,3,264.84,2.33,0.009,263.5,267.53
LAT_FORM_FB_AD_AV_053.jpg,LAT,AV,4,370.25,142.45,0.385,284.53,581.44
LAT_FORM_FB_AD_AV_055.jpg,LAT,AV,3,303.45,21.88,0.072,290.82,328.72
LAT_FORM_FB_AD_AV_056.jpg,LAT,AV,4,199.26,109.23,0.548,134.56,361.55
LAT_FORM_FB_AD_AV_057.jpg,LAT,AV,3,239.56,60.97,0.255,204.36,309.96
LAT_FORM_FB_AD_AV_060.jpg,LAT,AV,3,404.74,307.37,0.759,227.28,759.67
LAT_FORM_FB_AD_AV_063.jpg,LAT,AV,4,232.68,15.94,0.068,218.94,248.21
LAT_FORM_FB_AD_AV_066.jpg,LAT,AV,3,426.85,98.94,0.232,369.73,541.09
LAT_FORM_FB_AD_AV_067.jpg,LAT,AV,4,334.17,3.67,0.011,330.99,337.35
LAT_FORM_FB_AD_AV_068.jpg,LAT,AV,4,235.9,26.37,0.112,213.07,258.74
LAT_FORM_FB_AD_AV_069.jpg,LAT,AV,4,297.8,10.81,0.036,288.43,307.16
LAT_FORM_FB_AD_AV_070.jpg,LAT,AV,4,313.56,8.64,0.028,306.08,321.05
LAT_FORM_FB_AD_AV_071.jpg,LAT,AV,4,266.91,40.02,0.15,232.47,306.76
LAT_FORM_FB_AD_AV_075.jpg,LAT,AV,3,350.8,57.93,0.165,317.35,417.69
LAT_FORM_FB_AD_AV_076.jpg,LAT,AV,4,311.03,54.03,0.174,270.87,385.15
LAT_FORM_FB_AD_AV_082.jpg,LAT,AV,4,289.2,13.03,0.045,278.42,304.71
LAT_FORM_FB_AD_AV_087.jpg,LAT,AV,3,353.65,75.18,0.213,310.25,440.47
LAT_FORM_FB_AD_AV_088.jpg,LAT,AV,3,363.04,63.21,0.174,326.54,436.03
LAT_FORM_FB_AD_AV_089.jpg,LAT,AV,4,174.26,3.68,0.021,171.08,177.45
LAT_FORM_FB_AD_AV_094.jpg,LAT,AV,4,266.59,31.64,0.119,247.38,313.43
LAT_FORM_FB_AD_AV_097.jpg,LAT,AV,3,387.76,43.66,0.113,362.56,438.17
LAT_FORM_FB_AD_AV_101.jpg,LAT,AV,2,417.92,0.0,0.0,417.92,417.92
LAT_FORM_FB_AD_AV_102.jpg,LAT,AV,4,332.42,37.78,0.114,311.89,388.97
LAT_FORM_FB_AD_AV_103.jpg,LAT,AV,4,271.22,24.59,0.091,256.39,307.67
LAT_FORM_FB_AD_AV_104.jpg,LAT,AV,4,253.97,27.13,0.107,236.03,293.37
LAT_FORM_FB_AD_AV_105.jpg,LAT,AV,4,245.31,25.42,0.104,223.35,269.53
LAT_FORM_FB_AD_AV_106.jpg,LAT,AV,4,245.95,13.26,0.054,235.8,263.7
LAT_FORM_FB_AD_AV_107.jpg,LAT,AV,4,242.97,16.33,0.067,229.7,263.16
LAT_FORM_FB_AD_AV_110.jpg,LAT,AV,4,255.17,5.83,0.023,250.12,260.22
LAT_FORM_FB_AD_AV_111.jpg,LAT,AV,4,240.71,39.09,0.162,215.67,297.96
LAT_FORM_FB_AD_AV_112.jpg,LAT,AV,4,249.8,65.96,0.264,208.27,346.8
LAT_FORM_FB_AD_AV_120.jpg,LAT,AV,4,185.45,16.17,0.087,171.45,199.45
LAT_FORM_FB_AD_AV_121.jpg,LAT,AV,4,204.76,4.83,0.024,200.57,208.94
LAT_FORM_FB_AD_AV_123.jpg,LAT,AV,4,181.98,15.16,0.083,169.33,199.6
LAT_FORM_FB_AD_AV_127.jpg,LAT,AV,4,358.91,126.59,0.353,289.16,548.27
LAT_FORM_FB_AD_AV_133.jpg,LAT,AV,4,177.15,7.29,0.041,170.84,183.46
LAT_FORM_FB_AD_AV_147.jpg,LAT,AV,4,251.69,10.29,0.041,242.87,262.3
LAT_FORM_FB_AD_AV_148.jpg,LAT,AV,4,176.63,6.03,0.034,171.41,181.85
LAT_FORM_FB_AD_AV_149.jpg,LAT,AV,4,172.06,12.76,0.074,161.01,183.11
LAT_FORM_FB_AD_AV_196.jpg,LAT,AV,4,310.55,110.58,0.356,214.88,412.12
LAT_FORM_FB_AD_AV_203.jpg,LAT,AV,4,341.8,71.75,0.21,293.38,445.3
LAT_FORM_FB_AD_AV_206.jpg,LAT,AV,2,398.24,0.0,0.0,398.24,398.24
LAT_FORM_FB_AD_AV_214.jpg,LAT,AV,4,402.83,224.6,0.558,236.62,711.93
LAT_FORM_FB_AD_AV_216.jpg,LAT,AV,4,326.74,90.5,0.277,251.3,432.26
LAT_FORM_FB_AD_TP_019.jpg,LAT,TP,9,86.39,49.54,0.573,0.3,125.36
LAT_FORM_FB_AD_TP_074.jpg,LAT,TP,9,113.35,65.63,0.579,0.28,176.84
LAT_FORM_FB_AD_TP_100.jpg,LAT,TP,9,74.89,42.52,0.568,0.53,109.99
LAT_FORM_FB_AD_TP_108.jpg,LAT,TP,9,88.0,50.03,0.569,0.21,121.6
LAT_FORM_FB_AD_TP_111.jpg,LAT,TP,14,72.96,13.11,0.18,57.05,98.37
LAT_FORM_FB_AD_TP_116.jpg,LAT,TP,9,108.73,61.77,0.568,0.13,152.44
STD_FORM_FB_AD_AV_033.jpg,STD,AV,9,118.43,79.07,0.668,0.09,223.13
STD_FORM_FB_AD_AV_041.jpg,STD,AV,9,132.01,75.0,0.568,0.78,192.96
STD_FORM_FB_AD_AV_064.jpg,STD,AV,9,178.28,104.36,0.585,0.41,288.43
STD_FORM_FB_AD_AV_066.jpg,STD,AV,9,123.8,77.72,0.628,1.43,210.84
STD_FORM_FB_AD_AV_079.jpg,STD,AV,9,204.75,140.24,0.685,0.31,373.5
STD_FORM_FB_AD_AV_087.jpg,STD,AV,9,169.69,80.26,0.473,121.33,375.19
STD_FORM_FB_AD_AV_089.jpg,STD,AV,9,138.96,83.74,0.603,13.03,273.34
STD_FORM_FB_AD_AV_092.jpg,STD,AV,10,184.69,113.0,0.612,118.15,466.45
STD_FORM_FB_AD_AV_093.jpg,STD,AV,9,177.26,50.05,0.282,139.8,299.51
STD_FORM_FB_AD_AV_116.jpg,STD,AV,9,215.38,122.15,0.567,1.11,289.42
STD_FORM_FB_AD_AV_129.jpg,STD,AV,9,134.66,83.13,0.617,0.96,225.11
STD_FORM_FB_AD_AV_139.jpg,STD,AV,9,136.36,79.73,0.585,0.78,213.32
STD_FORM_FB_AD_AV_141.jpg,STD,AV,9,138.99,79.8,0.574,1.2,208.96
STD_FORM_FB_AD_AV_147.jpg,STD,AV,4,345.3,57.2,0.166,297.97,413.31
STD_FORM_FB_AD_AV_158.jpg,STD,AV,4,287.21,18.83,0.066,275.03,314.73
STD_FORM_FB_AD_AV_162.jpg,STD,AV,4,388.06,11.31,0.029,379.66,403.58
STD_FORM_FB_AD_AV_163.jpg,STD,AV,4,381.06,26.44,0.069,360.89,416.56
STD_FORM_FB_AD_AV_164.jpg,STD,AV,4,363.85,75.07,0.206,301.85,453.5
