epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.757,0.86108,3.79158,0.01438,0.38918,0.3968,0.34723,0.28067,0.69009,4.10829,0.01584,0.000550917,0.000550917,0.000550917
2,704.02,0.91025,2.91233,0.01432,0.5264,0.42123,0.48243,0.34345,0.72164,3.44863,0.01603,0.00108467,0.00108467,0.00108467
3,1111.13,0.92498,2.54657,0.01503,0.5561,0.53612,0.58841,0.42842,0.91827,2.84658,0.02137,0.00159643,0.00159643,0.00159643
4,1407.67,0.97905,2.23576,0.01641,0.61622,0.66393,0.65035,0.48189,0.8259,2.5218,0.01913,0.00156798,0.00156798,0.00156798
5,1700.16,0.99352,1.95828,0.01622,0.57976,0.60576,0.69405,0.5249,0.79657,2.12745,0.01826,0.00153497,0.00153497,0.00153497
6,1957.59,1.01739,1.90242,0.0171,0.82826,0.60601,0.74483,0.58977,0.77375,1.88114,0.01689,0.00150197,0.00150197,0.00150197
7,2181.4,1.00104,1.61875,0.01636,0.66163,0.6754,0.68931,0.54581,0.82011,1.75814,0.01783,0.00146896,0.00146896,0.00146896
8,2437.47,0.98023,1.5222,0.01625,0.71293,0.6772,0.70069,0.57865,0.67654,1.65527,0.0148,0.00143595,0.00143595,0.00143595
9,2693.68,0.94095,1.37528,0.01557,0.69181,0.65642,0.7064,0.54875,0.84731,1.59385,0.01842,0.00140295,0.00140295,0.00140295
10,2937.81,0.94994,1.28885,0.01499,0.75077,0.62654,0.69936,0.56637,0.77652,1.50986,0.01666,0.00136994,0.00136994,0.00136994
11,3183.63,0.93474,1.23085,0.01549,0.75097,0.69849,0.76482,0.60815,0.69997,1.34376,0.01493,0.00133693,0.00133693,0.00133693
12,3422.28,0.88129,1.15929,0.01435,0.69255,0.66882,0.70778,0.56189,0.70134,1.364,0.01467,0.00130393,0.00130393,0.00130393
13,3679.61,0.87884,1.059,0.01382,0.75987,0.67723,0.75845,0.63112,0.68745,1.24356,0.01492,0.00127092,0.00127092,0.00127092
14,3923.41,0.88818,0.99417,0.01477,0.78911,0.75476,0.8065,0.65045,0.69624,1.06387,0.01449,0.00123791,0.00123791,0.00123791
