epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,3265.5,0.90793,1.31499,0.0136,0.68797,0.64718,0.72608,0.57332,0.78242,1.56338,0.01646,0.0010025,0.0010025,0.0010025
12,3639.55,0.87243,1.22513,0.01283,0.70732,0.51741,0.61664,0.4913,0.76408,1.8653,0.01704,0.00097775,0.00097775,0.00097775
13,3998.86,0.81643,1.14587,0.01231,0.71937,0.61827,0.68732,0.54145,0.781,1.52785,0.01636,0.000953,0.000953,0.000953
14,4385.11,0.82339,1.06512,0.01205,0.75439,0.68779,0.78545,0.63667,0.76456,1.34316,0.01769,0.00092825,0.00092825,0.00092825
15,4719.05,0.85864,1.10045,0.01261,0.57786,0.58687,0.60283,0.47535,0.73101,1.72903,0.0167,0.0009035,0.0009035,0.0009035
16,5066.86,0.84141,1.00571,0.01217,0.64627,0.60385,0.64234,0.51625,0.70203,1.61121,0.01521,0.00087875,0.00087875,0.00087875
17,5434.83,0.83602,0.96591,0.01173,0.76248,0.59396,0.67623,0.54003,0.7803,1.56318,0.01783,0.000854,0.000854,0.000854
18,5692.73,0.77129,0.88795,0.01126,0.71183,0.57209,0.68836,0.55589,0.76085,1.67074,0.01671,0.00082925,0.00082925,0.00082925
19,6000.63,0.81858,0.90823,0.01194,0.67475,0.76264,0.77436,0.6613,0.63864,1.16958,0.01406,0.0008045,0.0008045,0.0008045
20,6242.7,0.78299,0.89228,0.01109,0.64384,0.65512,0.70605,0.57416,0.68826,1.33642,0.01521,0.00077975,0.00077975,0.00077975
21,6481.14,0.77683,0.84089,0.01104,0.69768,0.7233,0.77379,0.65271,0.65265,1.30478,0.01478,0.000755,0.000755,0.000755
22,6720.01,0.7998,0.85743,0.01171,0.75717,0.61659,0.75934,0.62635,0.67465,1.23484,0.01457,0.00073025,0.00073025,0.00073025
23,6959.18,0.74921,0.80276,0.01087,0.76592,0.56867,0.68725,0.56423,0.71347,1.60575,0.01562,0.0007055,0.0007055,0.0007055
24,7199.53,0.75856,0.7813,0.01144,0.8025,0.70795,0.8455,0.71936,0.61701,0.94411,0.01341,0.00068075,0.00068075,0.00068075
25,7439.95,0.7165,0.75208,0.01076,0.79008,0.63735,0.78768,0.65894,0.63081,1.10692,0.01387,0.000656,0.000656,0.000656
26,7686.33,0.75224,0.71275,0.01079,0.76078,0.69878,0.8262,0.70329,0.62697,1.08908,0.01332,0.00063125,0.00063125,0.00063125
27,7927.59,0.72865,0.7056,0.01046,0.81091,0.70542,0.82588,0.70698,0.60728,0.93456,0.0133,0.0006065,0.0006065,0.0006065
28,8168.14,0.72029,0.71402,0.01019,0.76812,0.63568,0.77413,0.64327,0.65735,1.27696,0.01398,0.00058175,0.00058175,0.00058175
29,8409.83,0.71236,0.70204,0.01017,0.78162,0.66784,0.79574,0.6776,0.60748,1.04953,0.01343,0.000557,0.000557,0.000557
30,8651.14,0.71017,0.67811,0.0101,0.76487,0.68481,0.78562,0.67187,0.62599,1.2233,0.01312,0.00053225,0.00053225,0.00053225
31,8891.78,0.70667,0.68162,0.01035,0.73445,0.743,0.82573,0.72179,0.57882,1.02296,0.01266,0.0005075,0.0005075,0.0005075
32,9133.19,0.68547,0.63289,0.00981,0.73122,0.75125,0.83769,0.7349,0.5588,1.02862,0.01253,0.00048275,0.00048275,0.00048275
33,9374.79,0.68856,0.64359,0.00964,0.83074,0.68793,0.84141,0.71317,0.61529,0.96237,0.0134,0.000458,0.000458,0.000458
34,9619.41,0.66702,0.6311,0.0099,0.73132,0.79237,0.84468,0.71866,0.6009,0.89981,0.01318,0.00043325,0.00043325,0.00043325
35,9878.69,0.64542,0.57494,0.0088,0.80187,0.68029,0.82436,0.70911,0.59848,1.06428,0.01301,0.0004085,0.0004085,0.0004085
36,10124.7,0.68482,0.64054,0.00957,0.67439,0.68695,0.79239,0.68032,0.59267,1.19226,0.01318,0.00038375,0.00038375,0.00038375
37,10372.3,0.6609,0.59342,0.00925,0.76322,0.71412,0.81617,0.70626,0.58331,1.09219,0.0132,0.000359,0.000359,0.000359
38,10618,0.613,0.57713,0.00871,0.7306,0.73522,0.80843,0.7095,0.57581,1.14193,0.01267,0.00033425,0.00033425,0.00033425
39,10933.6,0.64487,0.59018,0.00907,0.72996,0.68636,0.74277,0.65154,0.56675,1.31236,0.01234,0.0003095,0.0003095,0.0003095
40,11215.7,0.62121,0.54355,0.00901,0.73897,0.67938,0.7342,0.63409,0.55827,1.3138,0.01254,0.00028475,0.00028475,0.00028475
41,11459.7,0.40676,0.37468,0.00692,0.74385,0.73824,0.82837,0.71993,0.56069,0.97609,0.01218,0.00026,0.00026,0.00026
42,11700.2,0.40003,0.34248,0.007,0.67705,0.73843,0.80729,0.69471,0.60122,1.03335,0.01234,0.00023525,0.00023525,0.00023525
43,11943.7,0.41374,0.34233,0.00708,0.70781,0.66703,0.78477,0.66994,0.59438,1.2505,0.01285,0.0002105,0.0002105,0.0002105
44,12308,0.39597,0.30406,0.00693,0.66939,0.74241,0.80399,0.69641,0.57356,1.08986,0.01255,0.00018575,0.00018575,0.00018575
45,12573.1,0.38539,0.30903,0.00654,0.69154,0.70127,0.79056,0.6855,0.56178,1.11789,0.01208,0.000161,0.000161,0.000161
46,12825.1,0.36204,0.29618,0.00596,0.76634,0.65163,0.80043,0.69243,0.54958,1.07194,0.01178,0.00013625,0.00013625,0.00013625
47,13077.7,0.38171,0.31375,0.00631,0.72594,0.71353,0.80619,0.6995,0.53802,1.0324,0.01125,0.0001115,0.0001115,0.0001115
48,13353,0.35542,0.29118,0.00587,0.71779,0.73415,0.8213,0.7142,0.53789,1.03272,0.01114,8.675e-05,8.675e-05,8.675e-05
49,13629.7,0.36107,0.28038,0.00622,0.75133,0.68137,0.81248,0.70876,0.54111,1.06579,0.01113,6.2e-05,6.2e-05,6.2e-05
50,13905.2,0.36722,0.30117,0.00617,0.73623,0.69308,0.81956,0.71972,0.5316,1.04607,0.01101,3.725e-05,3.725e-05,3.725e-05
