epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.548,1.07872,2.66449,0.0052,0.59301,0.62771,0.647,0.42775,0.96783,2.19461,0.00776,0.000661333,0.000661333,0.000661333
2,1123.23,1.08466,1.92384,0.00558,0.70054,0.7013,0.7839,0.56016,0.94788,1.64689,0.00731,0.00131157,0.00131157,0.00131157
3,1590.12,1.15425,1.5308,0.0058,0.74799,0.77706,0.8343,0.55699,1.08039,1.43861,0.00852,0.0019453,0.0019453,0.0019453
4,2054.98,1.19882,1.35349,0.00588,0.81291,0.82251,0.89907,0.58268,1.14397,1.15874,0.00858,0.00192575,0.00192575,0.00192575
5,2521.5,1.10794,1.2293,0.00537,0.80936,0.81602,0.88242,0.56593,1.21495,1.07943,0.00924,0.001901,0.001901,0.001901
6,2987.72,1.09514,1.02327,0.00523,0.81213,0.84212,0.89421,0.6235,1.06304,0.94446,0.00874,0.00187625,0.00187625,0.00187625
7,3455.25,1.07503,0.93192,0.00529,0.86132,0.82035,0.90727,0.63146,1.06556,0.87357,0.00798,0.0018515,0.0018515,0.0018515
8,3922.48,1.06465,0.85352,0.00521,0.8583,0.85065,0.90998,0.65749,0.98982,0.83974,0.00792,0.00182675,0.00182675,0.00182675
9,4384.04,1.00353,0.75128,0.00481,0.87112,0.82684,0.91694,0.62832,1.08311,0.77831,0.00806,0.001802,0.001802,0.001802
10,4840.57,1.02042,0.74479,0.00507,0.8287,0.85864,0.90149,0.64355,1.00587,0.72774,0.00745,0.00177725,0.00177725,0.00177725
11,5299.29,1.0064,0.72369,0.00485,0.87209,0.85591,0.91055,0.64687,1.01797,0.71159,0.00802,0.0017525,0.0017525,0.0017525
12,5757.24,0.9956,0.67918,0.00484,0.84927,0.85065,0.91449,0.6511,1.03448,0.67092,0.00769,0.00172775,0.00172775,0.00172775
13,6216.86,1.05368,0.70303,0.00506,0.86605,0.90476,0.946,0.68597,0.96042,0.62576,0.00739,0.001703,0.001703,0.001703
14,6675.55,1.03884,0.69328,0.00508,0.87466,0.89394,0.93925,0.66399,1.05308,0.6259,0.009,0.00167825,0.00167825,0.00167825
15,7138.42,1.00517,0.64637,0.00495,0.84942,0.9026,0.91513,0.66338,0.98342,0.64156,0.00765,0.0016535,0.0016535,0.0016535
16,7611.54,0.99677,0.61242,0.00472,0.86532,0.85281,0.91073,0.64924,1.0073,0.6756,0.00754,0.00162875,0.00162875,0.00162875
17,8079.15,0.94969,0.5685,0.00455,0.87365,0.87446,0.93267,0.68615,0.96643,0.55965,0.00721,0.001604,0.001604,0.001604
18,8540.2,0.9391,0.53657,0.00455,0.88363,0.87112,0.92707,0.69938,0.92969,0.59703,0.00716,0.00157925,0.00157925,0.00157925
19,9001.9,0.94982,0.5271,0.00442,0.88765,0.88927,0.9469,0.68509,0.99092,0.54219,0.00731,0.0015545,0.0015545,0.0015545
20,9462.91,0.97799,0.5258,0.00468,0.9021,0.85763,0.94201,0.70157,0.92336,0.54003,0.0069,0.00152975,0.00152975,0.00152975
21,9923.71,0.93957,0.48996,0.00448,0.95181,0.88095,0.96817,0.69706,1.00776,0.48772,0.00711,0.001505,0.001505,0.001505
22,10386.3,0.94496,0.49559,0.00427,0.90128,0.89394,0.952,0.72632,0.89242,0.5012,0.00648,0.00148025,0.00148025,0.00148025
23,10847.1,0.9058,0.47339,0.00427,0.91882,0.90693,0.96758,0.69248,0.99612,0.46334,0.00717,0.0014555,0.0014555,0.0014555
24,11307.1,0.91683,0.47005,0.00439,0.89716,0.8961,0.943,0.6891,0.97186,0.52733,0.00687,0.00143075,0.00143075,0.00143075
25,11768.2,0.91099,0.46125,0.0043,0.94727,0.90909,0.97131,0.73299,0.92034,0.4598,0.00683,0.001406,0.001406,0.001406
26,12228.7,0.88273,0.46516,0.00417,0.91445,0.89827,0.94098,0.71162,0.92814,0.49657,0.00669,0.00138125,0.00138125,0.00138125
27,12690.3,0.92111,0.45252,0.00435,0.91441,0.88095,0.95127,0.71505,0.94226,0.48412,0.00673,0.0013565,0.0013565,0.0013565
28,13151,0.89618,0.45884,0.00425,0.90585,0.89548,0.93778,0.70662,0.91955,0.51957,0.00695,0.00133175,0.00133175,0.00133175
29,13612,0.89258,0.44615,0.00422,0.92169,0.90476,0.95241,0.71487,0.93539,0.49195,0.0067,0.001307,0.001307,0.001307
30,14072.4,0.87167,0.42606,0.00386,0.91345,0.91382,0.95853,0.73655,0.89468,0.45627,0.0064,0.00128225,0.00128225,0.00128225
31,14534.5,0.88628,0.45171,0.00425,0.897,0.90478,0.9476,0.73042,0.90731,0.48589,0.00668,0.0012575,0.0012575,0.0012575
